Sentence	Emotion
우리의 꿈과희망 청소년들 멋있고 고마워~그리고 너네 젊은이 부러워~	행복
첸도 기부했는데 ㅎㅎ 역시 친하게 지내는 그룹끼리♡ 방탄분들 마음씨 너무 착하세요!	행복
인간 유재석은 본받을만한 사람이다	행복
현빈♡♡ 멋짐..	행복
기대해봅니다~~김사부 화이팅!!	행복
jtbc 짱이다~	행복
세분 모두 느낌 좋으니까~~~~~축하해요	행복
닭이 하는짓 보다가 저 대통령 보니깐 너무 존경스럽다	행복
참...오바마 새삼 대단하게 느껴진다..사진속에 모습 참 훈훈한 광경이네 .....	행복
두 번 정도 결정력 아쉬운 거 빼고 다 좋았다 갓흥민 ㅅㅅㅅㅅ	행복
정말로 감사합니다 고생하시고요~~~	행복
진짜 세상의 모든 어머니들은 대단하다.	행복
박지성 챔스8강 첼시전 긱스어시스트 받아서 결승골 넣은 이후로 기사보고 소름돋은적 얼마만이야 ㅠㅠ	행복
소연씨 지금도 충분히 잘~~하고 있어요 -♡- - ★★★★★- 홧팅!!	행복
하시는 사업 항상 응원합니다~ 젝키 투잡 하신다 해도 찬성입니다 ^^	행복
멋있어 해병대 갈때부터 알아봤다니깐 역시 남자야ㅎ	행복
대단하단 말밖엔	행복
진짜 나 슬기가 노래 부를때 나 진짜 울뻔했어	행복
감독님 수고 많으셨습니다	행복
축하해요~~행복하세요 ~~~~~	행복
마음씨도 참 곱고 이쁘다~~^^	행복
아 졸귀탱들ㅠㅠㅠㅠㅠㅠ♡♡♡♡	행복
오늘 너무 감동적이었어요ㅠㅠ	행복
은퇴시즌에 타격폼 변화주는 진짜 레전드	행복
이동욱 우와? 눈빛도 슬프지만 코도 입도 슬퍼 보인당~~ 이동욱 하드캐리~~	행복
봉선생님 감사합니다	행복
우주는 정말 신비롭다	행복
개지리겟다 존멋~~~♥♥♥본방사수해야징	행복
몸이랑 얼굴 비율이 헐리웃 배우같아ㄷㄷ	행복
헐 너무 좋아ㅠㅠㅠㅠㅠㅜ	행복
착한사람이 잘되는 세상을 꿈꾸며 박보검 언제나 응원합니다~!!	행복
기대하고있어요!너무좋다 ㅠㅠㅠ	행복
먹는것도 잘먹고 몸매도 좋고 매력짱^^	행복
류준열 너무 좋아 .....	행복
지도자는 국민을 위한 정치적소신과 철학이 뚜렷해야 한다 멋지다!!	행복
믿고 보는 김은숙 작가 로코하면 김은숙 작가 레전드지 진짜	행복
최고였음 역대최고의 드라마 드라마보면서 이만큼 눈물이나다니 가슴이먹먹함	행복
자신이 하고 싶은 여러가지를 시도할 수 있는 환경이 된다는게 그저 부러워요	행복
이래서 송중기 송중기 하는구만 ㅎㄷㄷㄷ 역시 믿고 보는배우네..	행복
고마우신분이네요.복 받으실껍니다	행복
이 분 음색이 갑... 말 할 때도 노래할 때랑 목소리가 똑같은데 너무 섹시하고 예쁘셔여...	행복
용감하고 정의로운 여성분이시네요..	행복
와 맑은 서울하늘 ㅋㅋㅋㅋㅋ	행복
이상우 ㅜㅜ 예쁘게 사랑하세요	행복
김종국버전끝사랑개존좋..	행복
콩테가 그냥 압살해버리네 ㅋㅋㅋㅋㅋ	행복
캬~~~농부님들 케간지!!!!!♡	행복
엘팬대표로 감사하다는말밖에는....	행복
탕웨이 닮은 딸은 또 얼마나 이쁠까....	행복
한시즌에 3할대 타율에 100도루가 달성된다면 영원히 깨지지 못할 대기록이다!!!!!!!!!!	행복
진짜 개꿀잼.....꼭 봐야됨	행복
역시 갓문성!	행복
역시 요즘 칼럼은 박문성	행복
이 드라마는 어떻게 연기구멍이 하나도 없지?심지어 단역들조차 연기를 너무 잘함.	행복
상당수가 할머니라는데 대단하긴한거다 박보검	행복
국민의당 잘한다..응원합니다	행복
노승일 당신이 있어 대한민국은 살아 납니다	행복
역시테슬라다 대단해!	행복
그렇게 캠벨은 두목님으로 아스날의 레전드가 되었지..	행복
이런게 진짜 도전이지...	행복
진짜 테임즈 팔뚝을 비롯한 몸은 대박임	행복
수고하시는 특검에 응원을 보냅니다	행복
대한민국만세다^^	행복
소수만 걷는 꽃길이 아니라 국민이 걷는 꽃길이라니... 용기에 박수를 보냅니다!! 그것도 mbc사장 앞에서~ 멋집니다.	행복
커쇼마지막커브진심지렷다	행복
"진영이 작곡한 같은곳에서, 벚꽃이지면 진짜 명곡임...."	행복
시영이는 얼굴도 예쁘고 운동도 잘하고 머리도 좋고 못하는게 뭐니	행복
승재 너무 귀여워~~ 사랑사랑하네♡♡	행복
형님~ 너무 멋있으십니다.	행복
맨탈갑!!!!!ㅋㅋㅋㅋㅋㅋㅋㅋ	행복
즐라탄 이 쉐리는 발기술 전나 좋은데 드리블을.안치냐	행복
이준기 포텐터지겠네 진짜 연기짱 카리스마 몰입도짱	행복
오늘 생일인데 축하좀 부탁드림	행복
참 흐뭇하네여 삼성에서골든글로브받길응원함다	행복
연기 넘 잘하시네요...최고!!^^	행복
외국 장관이지만 정말 본받을만한 장관이네요	행복
도산 안창호 선생의 숭고한 희생정신 잊지않겠습니다!	행복
왐마~~~ 멋지네~!!!	행복
와 어떻게 해도 예뻐ㅠㅠㅠ	행복
화이팅 트럼프.... 만세...	행복
 아마 인류사에 그정도로 완벽한 비주얼은 당분간 나오기 힘들듯	행복
그것이 효도인듯^^	행복
역시 국대 에이스다...!!	행복
야구는 모르는데 한화는 안다	행복
 앙리형 아스날 잠깐 와서 골 넣을때 겁나 감동했었음.	행복
은지원 매력이 정말 많은 사람이라 신서유기에서 보여주는 매력도 장난 아니구ㅠㅠ	행복
38사기동대 꼭보세요	행복
유재석 몸매 장난아니더라 ㅠㅠ	행복
척사광때부터 한예리님 연기 최고입니다!!!	행복
 딱 한번 나온 미용실 원장님의 아우라 또한 잊혀지질 않네요.ㅎㅎㅎ~~~	행복
"테베즈 ""향수병이 무슨 병이죠?"""	행복
유재석소감 들으며 감동	행복
앞으로도 10년은 유재석천하 일듯 싶다.	행복
맨날 삽질만 주구장창하다가 아무짝에 쓸모없는 인물로 내려갔는데 마드리드 더비에서 기적의 헤트트릭했다고 우리동생들 신나서 빨아주네 ㅋㅋㅋ	행복
같이 얘기하며 일하며 긍정적으로 살다보면기쁨도 있고 행복도 있답니다.	행복
미국다운 멋진 행동이다...	행복
 그와중에도 모두들 질서지키고 평화시위하는 시민의식에 감동받음	행복
양상문감독 대단하다.	행복
당신을기억할꺼예요	행복
 진짜 마음이 따듯해지는 드라마 입니다.. 힐링됩니다 ㅜㅜㅜㅜ	행복
좋은 글 감사해요	행복
아내분이 너무 멋지시더라구요..	행복
 완전 대박이였음ㅠㅠ	행복
너무 멋지고 훌륭합니다.	행복
그래서 난 제로칼로리 콜라가 좋음.	행복
남다른 재능에 남다른 노력까지...가히 박효신이다.	행복
얼마전에 여친이 임신을 했습니다	행복
경향신문 전병역 기자야말로 진짜 기자다.	행복
 대단했어.	행복
 보는 내내 입가에 미소가 끊이지 않는 드라마!	행복
 저부터 영원히 삼성충성고객될거같네요	행복
 젠도 사랑스럽습니다	행복
13번받아도전혀부족함이없고 오천만이인정한 진정한대상입니다	행복
당연한 1위!!!	행복
이럴때 하라고 기립박수가 있는겁니다!!!	행복
 꿈이 현실로	행복
여자친구 노래만든 작곡가 동상 세워 줘라..	행복
예능에서활동하시는모습보면재미있고보기좋아요이상민화이팅!!!!	행복
수지 예쁘고 착하더라 존예짱예	행복
 추카추카	행복
난 지금도 가끔씩 엽기적인그녀 보는데...	행복
콜마회장님 대단하시네요 ㅠㅠㅠ	행복
좋은 노래 들려줘서 너무 감사했어요~	행복
그리고 눈호강용 드라마 좋아하는 사람들. 물론 좋죠.	행복
 너 오늘 아주 멋지다야.	행복
 근데 겁나 재밌네요^^;;;	행복
 그중 단연 이승엽은 난사람이고 된사람으로 생각한다.	행복
정말 양상문감독 인정 안할수가 없네요 .	행복
 진심용기있으시네요!	행복
 멋진남자 오바마	행복
 항상감사합니다	행복
 대박 한편의 영화본듯~~!!!!ㅠㅠ	행복
헌재 재판관님들 고생많으십니다.	행복
 아가의탄생도 아름다운순간!	행복
우와~어째든 대단햐	행복
김하늘이 뭔가 묘한 매력이 있긴 함~	행복
남녀노소 모두좋아하는 진정한대중가요의왕	행복
슬프고도 아름다운 이야기 입니다.	행복
세계사 유례없는 평화시민 혁명으로 기록될것입니다.	행복
정말 예쁨 ㅠㅠ	행복
 국민들모두 멋지십니다.	행복
캬 bbc까지 극찬을!!!!!	행복
전라도분들은 35만을 굳게 믿습니다.	행복
모정으로 가득찬 예술이네요	행복
너무 멋지세요!!!!!??	행복
와 추카추카~~꼭 건강한 아기 순산하시길요~~	행복
캬~사이다!!!	행복
 그래서 전문가들이 칭찬한단다	행복
미_다 미_어....이번시즌은 걍 너의시즌으로 만들어라!!	행복
 특검팀 힘내세요 !!!!	행복
 진정한 배우중배우세여!!	행복
 그리고 감사합니다.	행복
 비와이가 기존_퍼랑 완전 차별화된 점은 불량스럽지가 않다는거 오히려 성실해보임 이런 _퍼는 처음이다 진짜	행복
이승엽선수 정말 멋집니다!!!	행복
고난이도액션 와이어 연기수준급이네......	행복
도움주신분들 모두 고맙습니다:D1번2번3번4번	행복
결국시간이흘러서 기다리고기다리던전역날이왔네요ㅜㅜ	행복
 라며 공감해주는데말하면 말할수록 그 따뜻한 고마움에 눈물이 나는거있죠 ㅋㅋㅋㅋ	행복
다들 힘내시길 바래요 ㅠ	행복
나무막대 하나만으로도 이렇게 예쁜 그림이~~	행복
아이들도 좋아할거같고~에버랜드 튤립축제 진해군항제등 볼거리 많네요	행복
막 ㅇㅇ 정말 리스펙해요~	행복
 크흡작년에 이직해서 다니고있고 집안이 어려워서 엄마 도와준거때문에 돈 못모았었는데천만원이 눈앞에 있어서 기쁘네여 ㅋㅋㅋㅋㅋㅋ 오예!!	행복
정성이 담긴 이쁜손편지가 들어있네요^^	행복
자동차 너무 귀엽네요!!	행복
벚꽃도 피고 이제 정말 봄이네.	행복
다들 말씀과조언 감사합니다	행복
태어난지 5개월 됐는데 뒤집고 조금씩 기어다니는데 빠른건가요..	행복
 진심이렇게 슬픈영화는 처음이었다	행복
 응원 감사합니다 :)----------------------------------------------------------------------------------출근 07시 30분집에오는시간 12시?	행복
정말 위로가 필요했는데이 글로라도 위로가 되네요..	행복
진짜 팥의 맛을 제대로 느낄 수 있는 파리바게뜨 국산팥빙수!	행복
 기저귀에 안 싸고 변기통에응아한게..	행복
저는 최대한 긍정적으로 생각하는 '넌 감동이야' 구요	행복
  공중파 케이블 할것없이 여기저기 뛰어 다니는 도니형의 모습에  저도 좀더 열심히 일하고 공부해야겠다는 생각을 하네요.	행복
행복한 스케이터의 모습이어서 더욱 빛이나는 연기가 나온거 같다는생각이 들어요...	행복
  연아양 연기를 보고있으면 전율이 흐르는 것 같아요.	행복
아무리 못한다고 놀려도 끝까지 할려는 그마음!!!	행복
저번편지에 댓글 달아줘서 너무 고마워요	행복
요즘 최고의 인물입니다.	행복
어제 그 뮤직비디오 잊지 못합니다 ..	행복
넘 잘하심	행복
 고마워ㅠㅠ	행복
부상임에도 불구하고 그만한 연기가 나오다니요...	행복
   지금의 연아님의 장한 모습을 볼 수 있고  앞으로도 계속 지켜보며 응원할 수 있다는 것만으로도  연아님에게 감사할 뿐입니다.	행복
 많이 힘드셨을텐데 꾹 참으시고이렇게 즐거운 하루를 보내게해주셔서 정말 감사 또 감사드립니다!!(아!	행복
제가웬만한일로는 눈물같은거 안흘리는데 그때는 저도 모르게 눈물이흐르더군여^^;	행복
"그 무더운 여름날,캐나다에서 땀흘려가면서 노력한 보람이 마침내 나타나는 군요."	행복
     너무나 우리에게 분에 넘치는 감동을 주는군요.	행복
이 말이 너무 와닿습니다.	행복
하늘과 땅과 조상이  빚어낸 선녀 중에 선녀.............	행복
인간의승리같아요	행복
웜업에서 힘들었지만 경기에서 완벽하게 해내는 모습을 보고 엄청난 감탄을 했습니다.	행복
 정말 대단합니다....	행복
집에서 구하기 쉬운 재료로 간단히 만들수 있는 음식에 정말 감명받았습니다.	행복
  연아 선수의 저런 놀라운 기록과 관중들의 호응은  쉽게 얻어지는게 아니라 경기가 있기까지  수 많은 연습을 한 결과물일거에요.	행복
세상 진리인듯.	행복
진행너무잘해요	행복
  그렇게 허리부상이 있으면서도 열심히 하시고!	행복
 다시한번 반했어요.	행복
 진쨔 한번보면 눈물이 펑펑나올것같네욤ㅎㅎ	행복
티부에서 이요리 보면서 대단하다는걸 느겻네요^^	행복
멋진 활약 보여주셔뜸...	행복
 멋져 멋져 멋져.	행복
진짜 부러워요	행복
  그랑프리화이널 우승보다  연아선수 자신이  불안했던 자신을 이겨냈다는것이  더 훌룡한것임니다.	행복
너무 멋진경기였습니다	행복
세계최고의 스케이터입니다.ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ	행복
이 모든 괴물들과 싸우느라 정말 고생했어여.	행복
고등학생 때 점심먹고 쉬는 시간에 함께 어울릴 친구가 없어 적적할 때 항상 영상으로 달래주었던 연아선수..	행복
건강하게 몸 관리 잘 하시고언제나 그랬듯이 최선을 다하는 모습이 보물 같습니다.	행복
물론힘들고 어려운 것이지만  그래도 마음만으로라도  도전하고 싶은마음이 들게 해 주셨네요	행복
  백주부짱!!!	행복
 웃는 모습이 세상에서 제일 예쁜 두 천사가 한 날에 태어났다니 이건 정말 운명의 데스티니네요	행복
항상 매주 해피투게더 보지만 진짜 유느님 진행은 감탄을 하게 되네요	행복
"그당시 신인 3인방이던 유지현, 김재현, 서용빈 세선수가 대활약을 펼치던 그 때.."	행복
정말 첫 출전에 너무 큰 기록을 세워서..	행복
 그리고 다른 방송에서도 1위 할 수 있게 제가 열심히 노력할게요ㅠㅠ	행복
형돈이형 추운 날씨에 다리다치고 노래연습 하니깐 너무 감동적이네요	행복
 자기 인생을 정말 열심히 살아가는 것 같아요.	행복
"나는 7번 에서 6번으로 내려 갔어여,,"	행복
 유느님이하는프로그램마다저를 웃게해주셔서 고맙습니다	행복
선수들의 팀웍에 감동했고 성적에 한번더감탄했습니다.	행복
  정말 열심히 준비했구나 하는 생각 뿐이었어요~~	행복
 당신의 500일 축하합니다!	행복
아무리봐도 백쌤 만큼 손쉽게 맛잇게 빠르게 만드는 요리사는없는것같아요	행복
열시미 쉬셔서 내년 시즌 확실하게 준비하세여.	행복
제가 제일 좋아하는 팀인 LG에 오셔서 넘 기뻐요.	행복
역시 연아 누님은 넘사벽이에요.	행복
언제나 힘이 되도록 지켜보고 있을께요~!	행복
퀸 유나~	행복
 글만 올려줘도 행복한데 컴백하면 얼마나 감격스러울까ㅜㅜㅠ	행복
작은힘이나마 백주부님 응원합니다...	행복
상대 타자들을 압도 할 만한 터프한 턱수염 와이리 멋있잇는지..	행복
  새시대를 주도해나갈 사람 연아양 !	행복
오빠오늘은 오빠가 태어난지 7000일되는날이예요!!	행복
"정말 ""짱""입니다,,,"	행복
" 스핀의 우아한 자태, 나는 듯 활강할 때의 쿨한 느낌이 얼굴에 다 묻어나고, 그게 연기와 잘 어우러지니, 연아양 경기를 보고 있으면 마치 발레 공연을 보는 것 같은 착각까지 들어요."	행복
오늘이랑 어제 춤 완전 짱짱이었어요!!!	행복
동수이후 미스터엘지의계보는 용빈이라고 나는 감히이야기하고 싶다	행복
 어쩜 저렇게 완벽한사람이 있을까ㅜㅠ	행복
피겨를 그렇게 잘하시는데도..	행복
 지훈오빠 생일축하해요 ! ㅠㅠ	행복
너무 멋졌어	행복
홍콩반점 넘 좋아요..	행복
 정말 신기하죠ㅠㅜㅠ	행복
연아선수덕에 저를 비롯한 많은 사람들이 너무도 행복한 시간을 보냈어요	행복
이번 시즌 첫 우승을 축하 합니다~!!!!	행복
수비는 이거다!!!	행복
해낼줄 알았어요....	행복
하루종일 보고 또 봐도 감동적인 프로그램을 보여줘서 감사해요~	행복
 아무리 봐도 실수랄 만한 건 안 보이는 완벽한 연기였어요.	행복
수줍은 미소 속에 세계를 감탄하게 하는 미소가 있다는 걸 있지 마세요 ^^~	행복
: 병규형이 승여비를누르고 올스타 최다득표의 영예를안았습니다	행복
백종원님 지나는길에 들리심 그냥 대접하고 싶어요♡♡♡	행복
 든든한 5천만국민들 그리고 세계여러나라에 있는 연아선수 팬들이 항상응원하는거 알고계시죠?^^	행복
세계 최고인 당신에게 어쩌면 질투와 시기는 당연한 건지도 모릅니다.	행복
더 멋진 경기 할 수 있도록응원의 박수 .......	행복
웃기는것도 중요하지만 건강이 젤 우선이란거 항상잊지말고 건강도 챙겨가면서 큰웃음도 함께주셨음 좋겠어요!	행복
 보고 또 보고 싶은 연기였어요	행복
 당신이 편안하시길 ...	행복
연아양 너무 자랑스러워요~	행복
 세븐틴도 오빠도!	행복
대박????????????	행복
연아선수.. 정말 수고했어요~	행복
안쓰럽기도 하면서도 자랑스러워 하고 있습니다	행복
김성근 감독님의 뛰어난 데이타와 지도력에 박수를 보냅니다...	행복
그녀가 자랑스럽습니다^^	행복
독도팀과 베이징팀의 치열한 감남스타일 뮤직비디오 찍으시는 걸보면서역시 멤버들 짱이시다라고 느겼습니다	행복
탄핵집회 이것 저것 뉴스 검색하다가우연히 무도 홈피 갔다가 알게_는데  용기 있는 행동에 박수를 보냅니다.	행복
정말 멋지세요~~~~	행복
참 멋있다! 시급도 부럽다!	행복
멋진남자..멋진배우..	행복
놀란이 비교를 하면 안되는 넘사 감독 제임스 카메론 ㅎㄷㄷ	행복
호날두 와 세계최고답다..메시보다 우월한게 한두개가 아니군..호날두는 노력형이고 메시는 천재형..효율적인 축구는 메시가 더 나은듯	행복
엑소 너무 인성도 좋고 애들이 착하기도 하고 밝아서 보기 좋았습니다 앞으로도 응원합니다	행복
와 윤어 저 사진 넘 이쁘다	행복
빌게이츠회장은 여기서도 일등먹네요.참 대단한 인물..	행복
그런데 정준영 진짜 잘생겼네	행복
두산 진짜 대박 ㅎㅎ 이용찬오고 불펜도 더 단단해졌고	행복
우왕 진짜 감동이에요.	행복
ㅋㅋㅋㅋ진짜 웃기더라ㅋㅋ예능신 강림ㅋㅋㅋ	행복
ㅋㅋㅋ레알 수준ㅋㅋ	행복
고생많으셨습니다. 그대의 삶에 박수를 보냅니다.	행복
진짜 격투기를 안좋아하지만 처음으로 격투기를보고 전율이란걸 느끼게해준 경기	행복
역시 주인님의 나라는 다르다 ㅠㅠ	행복
어제 잘하던데 부상 참고 계속 뛴게 멋있다 ㅎㅎ	행복
이러려구 사귀나보다 ㅜㅜ	행복
둘다 진짜 대단하다...	행복
멋지다 대한민국!!	행복
넥센 그들은 진저한 영웅이다	행복
이청아 진짜 예쁘네.	행복
민진웅배우 정말 목소리도 좋고 연기몰입도가 짱이더라 ㅠㅠㅠㅠㅠ	행복
저 아들셋인데.몰입해서봤네요..보는동안 멋지다감탄했네요	행복
나라는 민주주의를 버렸지만 국민은 다시 찾아냈습니다	행복
진심이 느껴지네요.	행복
저렇게 일일히 걸어주다니 ㅜㅜㅜ 감동 ㅜㅜㅜ	행복
진짜 남일이라 신경끌법도 한데대단하다 멋있다	행복
김구라보다는 100 배는 괜찬은 사람인듯!	행복
언젠가 어디선가 좋은날 계속 사랑하고 있길 바라며...안녕 도깨비. ㅠㅠ	행복
둥글고 아름다운 푸른별 지구.	행복
꼬부기 정말 귀여워요 ㅋㅋ	행복
나도의경나왓지만 저런모습보기좋네요	행복
그래도 인생드라마는 응팔이다 !-!	행복
엘지를 사자. 엘지가 이제 최고다.	행복
와아아아아아아아아아아아아 정말 진짜 남자다 !!!!!!!	행복
와 코리안시리즈 재패의 기운이 엘지를 향해있다	행복
수란 음색 쩐다	행복
요즘 보기 드물게 우직하고 순수하신 분 그래도 몸은 챙겨가며 방송하세요	행복
박초롱 윤보미 정은지 손나은 홍유경 김남주 오하영 에이핑크♡핑크판다 영원하자!!	행복
엑소처첨 밀린셀러 꼭하는 가수가 될길바래여~	행복
대박좋다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ유지태라니!!!개대된당ㅋㅋㅋㅋㅋ저번에 전화연결 실패해서 쟈나_ 시무룩했는데 드디어 ㅋㅋㅋㅋ	행복
외압에 흔들리지 않는 강력한 지도자	행복
모든장면이정말명장면이었습니다 ㅠㅠ	행복
이뿐만 아니라 일본은 머든지 아이디어가 기발한 나라같다	행복
진짜 너무너무 고마워요	행복
원더걸스는 역사에 남을 아이돌임	행복
마음씨도 착한 송송 커플	행복
우리 모두가 다 고맙고 좋은 대한민국 국민이구나 싶네요	행복
중국은 이렇게 숨은 인재들이 많구만	행복
근데 김소은 연기 잘하네	행복
여자 몸매 쥑이네.	행복
티저보고 괜찮네 했는데 진짜만드네	행복
몇번을 봐도 몰랐는데 진짜 대단한 드라마다!!!	행복
"조선 최고의 로맨티스트 직진 벤츠남 이영ㅠㅠ 박보검의 눈빛, 감정 연기가 진실되고 뭉클했다"	행복
급속 충전 강추.. 배터리 걱정이 없움..	행복
재덕아~~넌 정말 천사같이 잘생겼어!!!^^	행복
딘딘이 의외로 잘생겼네 무도에서 보니 못생겼던데.	행복
마지막까지 멋있다 전병두 선수!!!!!	행복
이런상황도 같이 헤쳐나가서 이뤄내는게 진짜 무한도전인거같다	행복
사람보다 낫다. 백배 천배...	행복
하나님이 나타나서 기적을 행하셨다.	행복
군대 갔다와서 더 멋있어진거 같다	행복
국민이 신뢰하며 보고있는 방송..응원합니다	행복
엘지 엔씨한테 떨어져도 상관업다 기아전 넥센전 정말 감동이였다 이만큼 감동준 선수 스텝한테 감사한다.	행복
최고의 명승부 잘 싸웠습니다 스오?	행복
저런 눈빛 가진 남자가 한국에 몇 있을것 같냐. 알랭들롱에 버금가는 눈빛이다.	행복
박신혜 이쁘다 ㅎㅎㅎ	행복
완전 감동적이네~!	행복
수고했어요 자랑스런 나의우상~^^	행복
얼굴도 예쁜데 알뜰하니 살림도 잘하던데.. 앞으로 행복하셨으면 좋겠어요	행복
익스 이상미 누나 진짜 너무 이뻐요	행복
여태까지 아무탈 없이 배송해준 기사님들 감사합니다	행복
박보검 너무 좋고 구르미그린달빛 너무 재미있어요	행복
아쉽지만 좋은노래로 다시 만나요 ?	행복
방송으로 봐도 참 착한 청년같다 이런 사람들이 더 잘돼야지~	행복
우리 쓰까형님 조근조근 카리스마 정말 멋지십디다	행복
존경해요 항상ㅋ	행복
오바마는 멋진 대통령이네	행복
목 핏줄이 어떻게 연기를 하지? 어제 진짜 깜놀했다요.대단해요~~	행복
세단어 노래 정말 감동이에요. 꽃길만 걷자구요~~^^	행복
"애국지사의 죽음이 헛되지 않도록, 남은 애국국민들은 목숨걸고 대한민국 지키겠습니다 !!"	행복
김사부 정체 알기 전후 유연석 눈빛이 확 달라지는데 감정연기 섬세하게 잘 하더라	행복
엘지가 독립군 지원한회사 였다는게 왠지 어울린다.... 엘지 흥해라..	행복
기사를 깔끔하게 요점정리를 잘해서 쓰셨네요~ㅎㅎ	행복
수아레즈의 리버풀을 모두의 리버풀로 만든 클롭은 명장입니다.	행복
Day day는 진짜 노래 너무 좋음	행복
힘내세요~어릴때부터 팬입니다!!!	행복
아주 잘했구먼...	행복
이세돌의 위엄......	행복
ㅁㅊ 개잘생겼어	행복
박영수 특검 사람 참 믿음직하구만그래 ㅎㅎ	행복
바리깡으로 미는 사진 보니 원빈이 얼마나 잘생긴건지 알 수 있네요...	행복
광희 빅뱅특집 열일했지 인정!!	행복
구조 하느라 수고 많으셨어요 ^^	행복
진짜 명경기였어요 보면서 탄성이 나왔네요 그리고 버티는게 크	행복
해떳습니다.사진찍어보여주고싶네요	행복
승짱은 대단합니다..	행복
역시 천상 골키퍼 브라보!	행복
정말 국가의 영웅이다 이정도면 대접해줘도 된다고 생각한다	행복
영화스토리같다ㅠㅠㅠㅠ	행복
이강인 대단하다 ㅇㅇㅇㅇㅇㅇ	행복
멋지다 괴연 세계최고 선진국이다	행복
유재석 대상수상소감 너무 감동적이었다..ㅠ	행복
두환이 ㄹㅇ 상황판단 지렸다리 오졌다리~~~	행복
멋지다 광주경찰 같은민족입니다 우리가 살고있는 민주주의의 시작은 전라도가 아니었을까요?	행복
지금은 조금 늙으셨지만 예전에 영화 나왔을때 진짜 대박이였지.	행복
한국인이란게 자랑스러운게 이번이 처음	행복
손석희씨가 존경스럽다!!	행복
이민호 눈빛 너무 좋음	행복
알고보면 정말 훈훈남	행복
와 눈썰미!!! 멋지세요 의인이시네요^^	행복
오바마 대통령은 끝까지 멋있네	행복
마리..너무 귀여운 악녀였어요. 임세미씨 앞으로 응원할게요~!	행복
역시갓수근	행복
진짜 댄스만 잘하는게 아님..ㅠ다른 상대랑 붙었다면 2라운드도 생각해볼수 있었는데 아쉽네..ㅠ그래도 정말 잘함!	행복
정말 아름답고 감동적인 사연입니다	행복
종석이 ㅠㅠ 강철 진짜 사랑해요	행복
"영화의 한장면 같네요,,정말 축하합니다~~^^"	행복
보검이 얼굴이 국민드라마다!	행복
삼척동자도 다아는 일에 이런얘기를 할수있는 나라가 민주주의 나라 _구나	행복
솔직히 이런 상황에서 안정적으로 착륙하는 기장님들이 대단하다고 느껴진다..	행복
오늘 드디어!!! 홧팅!! 1위 꽃길 예약!!!젝키짱!!!	행복
원래 연기 잘하죠!	행복
내가살면서 영화 같은거 극장에서 2번본거 인터스텔라밖에없음...진짜명작임	행복
내 생일 선물인가바	행복
니가 합류한 이상 이미 강팀이다. 대호야!~	행복
폐지만하지마요 런닝맨 멤버들 케미보는맛에 봤는데 본방은 못봐도 재방은 꼭보는 방송	행복
차라리 한솥에서 돈치마요를 사먹여도 저것보다 싸고 맛있다	행복
딘딘 얘는 계속 호감인듯	행복
차인표 라미란 케스팅 진짜진짜 신의 한수~~!!!	행복
ㄱㅊ 엠마왓슨 개이쁨	행복
시민의 수준이 훨씬 높네	행복
첼시는 역시 최고야!	행복
영지 너무 귀엽다 ㅋㅋㅋ	행복
피가되고 살이되는 야신의 말씀........	행복
공유!!! 연기신!!!	행복
패널티 맞다 무조건~ 그리고 이번경기 기성용 잘한편이였다	행복
그래 한혜진은 아무도 대체 할수 없음 그녀만의 아우라 있음	행복
진짜 눈빛 하나로 모든 감정을 표현하고 전달하는 배우십니다~어젠 보면서 같이 울었습니다 다들 연기 너무 잘하십니다	행복
손흥민 처럼만 해라 ㅎ	행복
금발머리 포수시절때 참 좋아했는데	행복
마동석씨 할말이 없게 만들정도로 멋찌고 훌륭한 연기에 박수를 보냅니다	행복
이열ㅋㅋ역시였군ㅋㅋ행복하세요~	행복
유재석님 너무 축하드려요!!!	행복
캬 욕 철지게 터트려주네	행복
저사진도 드라마한장면같다ㅋㅋㅋ하. ..	행복
외모도 착하지만 맘씨도 착하군요!!ㅠㅠ	행복
지하철타고다니고. .귀여워 스타병도 없나봐	행복
세상 에서 가장 멋있다	행복
강정호 클라스ㄷㄷㄷ	행복
노래도 뮤비도 퀄 ㅎㄷㄷ 조이 진짜 예쁘고 노래도 잘하는구나	행복
조종사 능력 대단 하다!!!!	행복
이동욱 넘 귀엽고 연기도 짱 잘하네요~	행복
그냥 꽃길만 쭉 걷자 ㅜㅜㅜㅜ 우리 앙순이들???	행복
코스타는 월클이다	행복
투표 도와주신 원스분들 감사합니다.	행복
에바그린은 신의 뜻입니다.	행복
용기있는 래퍼	행복
멋쟁이네 김광호 아저씨 !	행복
오 역시 월클 지성팍 ^^	행복
긍정적 에너지 넘쳐서 좋다 딘딘~^^	행복
비와외로움 듣고 팬티갈아입었다... 간만에 눈물나는 고음이었다..	행복
역시...장꾸준!대박입니당!^^♡	행복
슬리피가 진정한 프로다	행복
얼굴도예쁘고연기도잘하고다좋아요~♡	행복
충분히 훌륭합니다!!	행복
JTBC 진심쩐다.... 권력에 맞서네!	행복
진짜너무 너무 멋있다!!!!짱	행복
감동주는 촛불광장이추운날씨에 대단하신국민들!!	행복
민주주의 대통령은 이래야한다~~~	행복
